stress,strain
0.004888,0.018337216
0.004972,0.018918033
0.004922,0.022236986
0.004956,0.02489215
0.004905,0.026385678
0.004922,0.028377049
0.004922,0.030783291
0.004939,0.033106558
0.004989,0.035346851
0.004939,0.036923354
0.004956,0.038997699
0.004956,0.041072044
0.004956,0.043229364
0.004956,0.04555263
0.004956,0.048705637
0.005006,0.051858644
0.004989,0.054596779
0.005023,0.05766681
0.005023,0.060902793
0.005023,0.063806873
0.005074,0.067706645
0.005057,0.072104257
0.005107,0.077082686
0.005141,0.080899483
0.005141,0.085214124
0.005158,0.089777681
0.005192,0.094258272
0.005259,0.098489937
0.005175,0.103219445
0.005276,0.109525459
0.005293,0.114420909
0.005343,0.119150417
0.00536,0.124045876
0.00536,0.129107277
0.005394,0.134002736
0.005444,0.138732244
0.005478,0.145370151
0.005596,0.151510214
0.005529,0.156405664
0.005529,0.161218148
0.005596,0.166694417
0.005647,0.172336636
0.005731,0.177398055
0.005697,0.183289192
0.005714,0.189844114
0.005714,0.195569319
0.005697,0.200464768
0.005782,0.20569212
0.005782,0.211583257
0.005832,0.216644676
0.005849,0.222369862
0.005866,0.22917372
0.005916,0.235894592
0.00595,0.241204928
0.006001,0.246598213
0.006034,0.252240433
0.006068,0.258297539
0.006085,0.263275955
0.006135,0.269996846
0.006169,0.277381504
0.006152,0.283521576
0.006304,0.289744615
0.006237,0.295137917
0.00627,0.301692858
0.006304,0.307583977
0.006338,0.313309163
0.006422,0.321191691
0.006456,0.328742319
0.00654,0.335131308
0.006506,0.340358659
0.006591,0.346332781
0.006607,0.352804737
0.006591,0.358363954
0.006675,0.364918912
0.006725,0.37379711
0.006759,0.380600967
0.006742,0.386492086
0.006759,0.39180244
0.006827,0.398274396
0.00686,0.404580383
0.006894,0.41005667
0.006978,0.417524295
0.007046,0.425655758
0.006995,0.431546877
0.007096,0.4378529
0.00713,0.443744055
0.00713,0.449967076
0.007265,0.456356065
0.007231,0.461832352
0.007315,0.469880813
0.007299,0.477514371
0.007349,0.483654461
0.007417,0.489047746
0.007417,0.494772932
0.00745,0.500913022
0.00745,0.505974405
0.007551,0.512280428
0.007568,0.519996988
0.007619,0.526054076
0.007653,0.531364394
0.00772,0.536591745
0.00777,0.542150998
0.007821,0.547710252
0.007855,0.552605702
0.007922,0.559243626
0.008023,0.566047448
0.008074,0.570693999
0.00804,0.574510778
0.008158,0.579157328
0.008276,0.583720877
0.008327,0.587869593
0.008462,0.59210124
0.008512,0.59699669
0.008596,0.600398637
0.008731,0.603551648
0.008782,0.605874923
0.008883,0.609027935
0.009035,0.611849009
0.009153,0.614338217
0.009304,0.618072065
0.009439,0.620976106
0.009574,0.62263565
0.009692,0.624295122
0.009759,0.626120527
0.009894,0.628609735
0.009962,0.629522438
0.010265,0.633173319
0.010434,0.63582846
0.010552,0.636160327
0.01067,0.637487933
0.010805,0.638815539
0.010973,0.640723911
0.011041,0.64171958
0.011226,0.643296085
0.011378,0.646117231
0.011546,0.647527733
0.011715,0.648357468
0.011816,0.649187276
0.012001,0.650597777
0.012136,0.652091317
0.012305,0.65275512
0.01244,0.654912462
0.012608,0.656737867
0.01281,0.6569038
0.012979,0.657567603
0.013147,0.658397339
0.013265,0.659807912
0.013434,0.660139778
0.013586,0.661301451
0.013788,0.66379066
0.014007,0.663873626
0.014209,0.664537429
0.014361,0.664952262
0.014513,0.665699031
0.014732,0.667026638
0.014833,0.667275537
0.015018,0.669266875
0.015288,0.670179649
0.015457,0.670345582
0.015659,0.670594482
0.015811,0.671424217
0.015996,0.67233692
0.016165,0.672585891
0.016333,0.673913426
0.016569,0.675987802
0.016788,0.675572898
0.016974,0.675821869
0.017092,0.675904835
0.017277,0.676817538
0.017463,0.677564307
0.017614,0.677896173
0.0178,0.679804616
0.01812,0.679306746
0.018272,0.679306746
0.018541,0.679970549
0.018609,0.680136482
0.018828,0.680966218
0.01898,0.681215118
0.019199,0.68262569
0.019401,0.68411923
0.019553,0.683455427
0.019789,0.683787364
0.019957,0.684036263
0.020092,0.6846171
0.020294,0.684948966
0.02048,0.685861669
0.020699,0.687272241
0.020901,0.686857337
0.021087,0.686774371
0.021272,0.687023342
0.021457,0.68777004
0.021575,0.68777004
0.021794,0.688184944
0.02198,0.689844416
0.02225,0.689927382
0.022486,0.690093315
0.022604,0.689678483
0.022772,0.69025932
0.022941,0.690591185
0.023109,0.690923052
0.023328,0.692665561
0.023632,0.693578264
0.023783,0.692582524
0.024036,0.692665561
0.024154,0.692831494
0.02434,0.69341226
0.024525,0.693578264
0.024677,0.694490966
0.024896,0.696316372
0.025098,0.695237736
0.025284,0.694988765
0.025486,0.695237736
0.025654,0.695984506
0.02584,0.696067472
0.026059,0.696565271
0.026228,0.69805881
0.026531,0.697643978
0.026683,0.697229074
0.026851,0.696980175
0.027053,0.697561012
0.027256,0.698224743
0.027391,0.69805881
0.02761,0.699635316
0.027795,0.700216153
0.028014,0.699801249
0.028183,0.69955235
0.028351,0.699801249
0.028537,0.700382086
0.028756,0.700299119
0.028958,0.701709692
0.029144,0.702705361
0.029363,0.701709692
0.029565,0.701377755
0.02975,0.701875625
0.029902,0.702041558
0.030087,0.702041558
0.030239,0.702456462
0.030526,0.704281867
0.030762,0.70370103
0.030897,0.703286198
0.031133,0.703369164
0.031301,0.703950001
0.031487,0.703950001
0.031638,0.703950001
0.031891,0.705775406
0.032144,0.705609473
0.03238,0.705360502
0.032532,0.704862704
0.032683,0.705111603
0.032953,0.706024305
0.033054,0.705360502
0.033374,0.707434878
0.033627,0.707434878
0.033796,0.706605142
0.034049,0.706356243
0.0342,0.706605142
0.034419,0.707102941
0.034571,0.706771075
0.03479,0.708181648
0.03506,0.70859648
0.03533,0.707849711
0.035532,0.707517845
0.0357,0.707517845
0.03592,0.708098681
0.036139,0.708098681
0.036307,0.708513514
0.036577,0.710338919
0.036813,0.709675187
0.037049,0.70909435
0.037285,0.70909435
0.037453,0.70934325
0.037656,0.709592221
0.037892,0.709758153
0.038145,0.711583559
0.038381,0.710753823
0.03865,0.710421957
0.038869,0.709592221
0.039088,0.70984112
0.039308,0.710421957
0.039544,0.710421957
0.039796,0.711583559
0.040117,0.712247362
0.040319,0.711085689
0.040622,0.710836789
0.040825,0.710836789
0.041044,0.711168726
0.041347,0.711002722
0.041549,0.711832458
0.041802,0.713077098
0.04219,0.712247362
0.042392,0.711500592
0.042696,0.711251693
0.042982,0.711749492
0.043184,0.711500592
0.043437,0.711500592
0.043774,0.713243031
0.044078,0.712247362
0.044381,0.711749492
0.044685,0.711334659
0.044954,0.711583559
0.045173,0.711334659
0.045494,0.711334659
0.045848,0.712662194
0.046269,0.711915425
0.046589,0.711085689
0.046876,0.710255952
0.047162,0.710172986
0.047516,0.710753823
0.047837,0.710255952
0.048089,0.710836789
0.048595,0.712496261
0.048865,0.710255952
0.049286,0.709758153
0.04959,0.709426216
0.04991,0.70934325
0.050112,0.709426216
0.050517,0.709592221
0.050904,0.710504923
0.051376,0.708928418
0.051781,0.707849711
0.052067,0.706937008
0.052421,0.706771075
0.052826,0.706937008
0.053129,0.706024305
0.0535,0.707019974
0.054039,0.707268945
0.054444,0.705028636
0.054815,0.704115934
0.055152,0.703452131
0.055523,0.703618064
0.055961,0.70295426
0.056298,0.703203231
0.056821,0.704364833
0.057259,0.701543759
0.057748,0.700465052
0.058085,0.699718283
0.058439,0.699469383
0.058877,0.699386417
0.059197,0.698971513
0.059703,0.699718283
0.060175,0.697312041
0.060681,0.696316372
0.061051,0.695237736
0.061422,0.695237736
0.061844,0.694988765
0.062097,0.693495298
0.062653,0.694988765
0.063192,0.69316336
0.063614,0.691420922
0.064035,0.69025932
0.064406,0.689844416
0.064844,0.68951255
0.065215,0.68851681
0.065603,0.68876578
0.066125,0.689263579
0.066546,0.686442505
0.067052,0.685612769
0.067322,0.684534062
0.067811,0.684700066
0.068148,0.682957556
0.068653,0.683455427
0.069075,0.683455427
0.069597,0.681215118
0.069985,0.679638612
0.070406,0.678808876
0.070794,0.678725909
0.071215,0.677647274
0.071687,0.677398374
0.072109,0.67723237
0.072699,0.675904835
0.073103,0.674162396
0.073474,0.67283479
0.073912,0.672751824
0.074351,0.672005054
0.074688,0.670760414
0.07516,0.671258285
0.075733,0.670013645
0.076188,0.66818824
0.076592,0.666777667
0.076997,0.666362834
0.077418,0.665864964
0.077789,0.664205492
0.078244,0.664786329
0.078817,0.664288459
0.079273,0.661633317
0.079711,0.660305711
0.080048,0.659558941
0.080469,0.659310042
0.080874,0.65814844
0.081278,0.65765057
0.081851,0.657899469
0.082391,0.654995428
0.082846,0.653501889
0.083217,0.65250622
0.083604,0.652091317
0.084026,0.65126158
0.084414,0.650514811
0.084936,0.650846748
0.085475,0.648772372
0.085897,0.646946967
0.086301,0.645785294
0.086706,0.644955558
0.087127,0.644208788
0.087599,0.643545056
0.088054,0.643710989
0.088611,0.641553647
0.089049,0.639645275
0.08942,0.637653866
0.089908,0.637653866
0.090212,0.636492264
0.090633,0.63533059
0.091105,0.635579561
0.091695,0.634666787
0.092218,0.63242655
0.092639,0.63093301
0.093044,0.629937342
0.093465,0.629522438
0.093853,0.627945932
0.094224,0.627448133
0.094847,0.627282129
0.095353,0.624544021
0.095791,0.622967515
0.096196,0.621805913
0.096651,0.62114211
0.097055,0.619814504
0.09751,0.619316634
0.097982,0.619150701
0.098522,0.616661492
0.099027,0.61500202
0.099381,0.613674414
0.099786,0.612844678
0.100241,0.611683076
0.100544,0.610936306
0.100949,0.610521403
0.101589,0.608944968
0.102112,0.606787626
0.102533,0.60521112
0.102938,0.604298418
0.103393,0.603385715
0.103781,0.601643205
0.104253,0.601394305
0.104792,0.600896507
0.105315,0.597992395
0.105736,0.596166954
0.106107,0.594839383
0.106579,0.594341549
0.107017,0.592765043
0.107405,0.592018273
0.107995,0.591769338
0.1085,0.58853336
0.108989,0.586790922
0.109377,0.585297383
0.109781,0.584550613
0.11022,0.583306009
0.110641,0.581978438
0.111164,0.581895472
0.11177,0.579323261
0.112225,0.577165954
0.112664,0.575755418
0.113051,0.57459378
0.11349,0.573515109
0.113894,0.571689668
0.114417,0.57177267
0.115091,0.569366428
0.115512,0.566711251
0.115951,0.565134746
0.116406,0.564139076
0.116827,0.562894472
0.117248,0.560903099
0.117737,0.560571197
0.118344,0.559243626
0.118867,0.556256548
0.119406,0.554846011
0.119709,0.55302057
0.120148,0.551858932
0.12062,0.550116494
0.121092,0.549286758
0.121698,0.548539988
0.122221,0.544889142
0.122693,0.542731835
0.123165,0.541321263
0.123586,0.540159625
0.124092,0.538251217
0.124547,0.537172582
0.125036,0.536342846
0.125626,0.533355767
0.126047,0.530949526
0.12657,0.529704921
0.127025,0.528377351
0.127514,0.526137042
0.127935,0.524560536
0.12839,0.523481901
0.128963,0.520245923
0.129553,0.518254549
0.130025,0.516512075
0.130447,0.515101538
0.130885,0.513110164
0.131289,0.510537989
0.131846,0.509957152
0.132452,0.507467944
0.133025,0.504812767
0.13375,0.501825725
0.134172,0.500166252
0.13466,0.49800891
0.135132,0.496100538
0.135706,0.494689966
0.136329,0.491205053
0.136835,0.488549911
0.137357,0.486890439
0.137762,0.484899065
0.138268,0.482492823
0.13874,0.480086582